time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
19,2005-05-14 00:19,284,249,35,228,0,21,10,152,1.8684211,10,19,5.413655,18,4.5823293,120,105,9.508333,0,0,230,5,1.2347826,24,32,2,18,38,16,27,24,204,21,104,0,0,20,28,0,100,11,10,21,83,14,0.9753521,135,23,20,18,11,10,4,2,
19,2005-05-14 00:20,266,140,126,99,0,41,9,170,1.5647058,8,12,4.928571,9,4.385714,83,71,7.39759,2,2,401,4,1.2593516,27,63,63,28,17,31,12,11,102,27,74,1,63,28,0,63,28,12,15,16,58,7,0.66541356,64,15,13,23,8,2,3,1,
20,2005-05-14 00:20,420,376,44,269,0,107,10,169,2.485207,19,15,4.007979,9,3.656915,118,156,11.652542,0,0,302,6,1.3907285,137,38,16,69,23,58,26,13,226,137,173,61,6,29,22,6,53,123,14,52,121,13,0.8095238,235,41,17,43,21,2,,,1
21,2005-05-14 00:21,515,320,195,239,0,81,10,188,2.7393618,15,15,4.534375,9,4.178125,111,161,12.045045,0,0,348,8,1.4798851,45,175,141,42,37,39,28,53,225,42,201,2,16,38,25,17,24,15,27,81,120,11,0.6970874,140,33,33,31,10,9,6,2,
22,2005-05-14 00:22,461,424,37,342,0,82,10,185,2.4918919,16,14,4.091981,8,3.7264152,134,150,11.791045,1,1,350,10,1.3171428,161,25,9,41,52,29,47,43,227,159,162,12,5,20,12,5,65,143,16,43,119,8,0.70281994,255,44,33,33,7,4,4,5,1
23,2005-05-14 00:23,516,317,199,258,0,60,10,186,2.7741935,17,14,4.687697,9,4.4258676,95,179,14.810526,1,2,339,10,1.5221239,50,189,124,43,32,43,29,52,222,41,193,4,3,35,64,3,29,23,18,78,115,9,0.5387597,136,56,32,18,10,6,3,1,
24,2005-05-14 00:24,475,421,54,343,0,79,10,174,2.729885,16,13,3.8337293,8,3.5083137,117,197,12.658119,1,6,343,6,1.3848397,168,44,19,37,62,33,62,52,206,164,163,6,5,28,20,5,43,127,37,41,122,8,0.61263156,228,70,43,14,2,6,,1,6
25,2005-05-14 00:25,533,343,190,279,0,64,10,204,2.612745,16,12,4.5568514,7,4.2040815,110,144,13.109091,0,0,376,8,1.4175532,52,186,133,46,47,40,41,39,254,47,202,5,2,37,43,2,52,13,34,74,128,8,0.6041276,145,68,40,30,12,1,,1,3
26,2005-05-14 00:26,417,342,75,235,0,107,10,92,4.5326085,23,11,4.3333335,8,3.8099415,90,208,14.4777775,0,0,264,8,1.5795455,92,63,16,32,45,22,33,56,204,86,137,4,1,58,22,2,67,45,41,47,90,5,0.56594723,176,45,41,7,17,4,,,
27,2005-05-14 00:27,460,407,53,321,0,86,10,190,2.4210527,16,14,4.125307,8,3.5356266,118,154,12.194915,0,0,341,7,1.3489736,172,32,3,37,38,25,36,29,209,170,146,8,18,23,24,18,63,134,36,55,91,6,0.54565215,265,37,41,23,7,1,5,,
28,2005-05-14 00:28,386,231,155,164,0,67,10,178,2.1685393,18,17,4.2900434,8,3.935065,80,124,11.3625,0,0,297,8,1.2996633,43,145,75,40,28,34,23,15,176,43,150,20,7,31,68,7,26,23,20,52,98,13,0.6295337,111,46,26,20,5,9,,1,
29,2005-05-14 00:29,391,307,84,258,0,49,10,175,2.2342858,15,14,3.3680782,8,3.1628664,112,142,8.669642,5,5,301,6,1.2990034,112,67,25,12,47,14,37,4,192,105,117,3,0,77,40,16,75,67,38,33,84,5,0.47314578,201,48,25,11,6,6,,,
30,2005-05-14 00:30,376,233,143,166,0,67,10,188,2.0,13,16,4.725322,7,3.922747,81,133,11.283951,5,6,315,6,1.1936508,57,124,84,15,18,10,15,43,135,55,82,1,17,32,40,17,53,43,12,34,48,4,0.30585107,135,21,10,22,2,,,,
31,2005-05-14 00:31,397,341,56,280,0,61,10,202,1.9653466,14,10,3.809384,7,3.4750733,114,167,10.394737,0,0,290,10,1.3689655,158,53,23,17,17,16,20,22,162,158,118,15,1,55,28,2,44,114,44,57,61,4,0.3274559,248,35,18,17,2,,,,
