time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
16,2020-04-01 16:31,54294,53132,1162,51901,6,1466,40,19501,2.784165,724,32,4.779963,10,4.278495,6971,34867,32.767036,2,2493,26100,294,2.08023,1033,832,92,4516,5043,4335,4596,1343,50815,932,29387,158,134,780,700,271,21428,124,808,16096,13291,24,0.54158837,37876,5410,5712,1114,618,390,320,77,91
17,2020-04-01 16:32,31579,29969,1610,26987,14,3368,40,4347,7.26455,599,32,4.9624944,13,4.394741,1880,6958,71.15266,2,307,12109,283,2.607895,972,1028,117,3167,3863,2969,3425,3879,25439,776,23086,98,143,798,829,261,2353,97,679,12118,10968,23,0.72032046,14745,5670,3976,832,267,191,162,49,112
18,2020-04-01 16:33,34809,33056,1753,31749,16,1682,39,2641,13.180235,667,32,5.00003,14,4.4832406,1156,13273,129.85294,2,145,11404,294,3.05235,1014,1080,111,4708,3576,3892,3054,2881,29429,915,26128,175,201,782,867,405,3301,189,726,14296,11832,24,0.6810882,17979,5913,4601,814,378,223,152,74,54
19,2020-04-01 16:34,30517,27543,2974,24770,4,3276,39,2556,11.939359,677,32,5.373053,12,4.5916204,926,5899,139.09612,2,331,11506,308,2.6522684,1601,1844,122,3788,3394,3204,3124,4514,22181,1272,19317,223,186,1032,1375,377,2864,106,1166,8030,11287,24,0.8500836,11186,5718,3598,1335,499,402,333,147,83
20,2020-04-01 16:35,35240,33239,2001,30713,0,2931,39,2835,12.430335,617,32,5.097145,12,4.4665303,1035,11545,145.36038,2,62,11570,308,3.045808,1816,1378,136,5142,4942,4527,4314,921,30666,1672,27395,357,162,1362,1135,459,3271,353,1319,12992,14403,23,0.9543984,16883,5933,5585,1536,1373,474,233,81,74
21,2020-04-01 16:36,35881,31720,4161,30616,0,1847,40,2714,13.220708,632,25,5.1921816,11,4.56529,1186,10278,125.10202,2,184,13297,298,2.6984282,1348,2783,306,4449,4087,3938,4109,3164,27741,1269,24745,290,388,1098,2122,845,2996,227,1042,12055,12690,23,0.8271787,15509,5906,4503,1067,904,448,169,136,100
22,2020-04-01 16:37,32895,31077,1818,28982,22,2369,39,2247,14.63952,625,32,5.0185347,10,4.3678603,921,6756,148.94571,2,88,11975,295,2.7469728,2125,1008,102,4194,4568,3636,3786,2188,27043,1951,23823,344,291,1580,811,531,3220,213,1738,10687,13136,24,0.8509804,14983,7415,4028,929,665,321,147,86,147
23,2020-04-01 16:38,39523,37993,1530,26381,16,11863,40,4452,8.8775835,691,32,5.733056,11,4.7653513,1814,14076,100.502754,3,206,13221,280,2.9894109,1375,888,151,3599,4115,3177,3642,3574,33189,1102,28252,153,198,1019,682,497,4937,268,834,13640,14612,24,0.76163244,19081,8242,3643,1695,572,360,244,99,221
24,2020-04-01 16:39,28568,26298,2270,25013,6,1664,38,3090,9.245307,672,32,4.8961897,11,4.395201,1166,4660,100.742714,3,197,11054,318,2.5844038,1237,1593,309,3237,3311,2865,3197,2557,22716,1144,19648,262,195,906,1214,465,3068,245,899,9018,10630,24,0.81206244,12506,4970,4283,1002,391,280,90,83,88
25,2020-04-01 16:40,39243,37175,2068,35849,0,1840,40,2061,19.040756,749,32,4.796449,10,4.406779,1026,12775,162.11989,1,72,10139,314,3.8705,2085,1406,375,5393,5476,5180,5184,1409,33783,1986,30422,327,321,2112,887,560,3361,246,1740,15621,14801,24,0.8766659,19509,6753,6061,1791,586,362,166,146,114
26,2020-04-01 16:41,26914,24716,2198,24227,0,1170,40,1342,20.055141,625,32,5.1602607,13,4.543009,769,8139,150.16125,4,71,8067,299,3.3363085,1554,1387,494,3747,3292,3533,3056,734,22512,1486,20134,244,439,1497,794,727,2378,239,1247,10570,9564,24,0.88604444,13327,4584,3771,1009,307,269,194,127,109
27,2020-04-01 16:42,36845,34341,2504,27325,7,7423,40,3296,11.178701,518,32,4.5355406,11,4.006377,1654,9912,84.37606,2,335,16226,306,2.2707384,1173,1428,300,4418,4086,3914,3582,9483,24000,1129,21314,286,352,952,1042,761,2686,204,925,9529,11785,23,0.77940017,12717,5052,3652,1791,857,241,385,77,106
28,2020-04-01 16:43,28376,27184,1192,25993,7,1402,41,2763,10.269997,578,20,4.9574013,13,4.362419,1214,8119,98.5972,3,239,10805,280,2.6261916,1017,623,126,3059,3760,2791,3626,3775,22772,885,20307,119,105,891,402,189,2465,145,740,10282,10025,16,0.80113477,13072,4488,3974,884,417,243,173,74,149
29,2020-04-01 16:44,27644,26344,1300,24701,0,1948,40,2196,12.588343,616,32,4.864865,11,4.4098845,805,5521,146.07578,2,180,11162,285,2.476617,893,732,119,2768,3120,2486,2743,4541,21026,832,18403,118,153,1092,531,452,2623,125,707,8028,10375,24,0.8067935,10956,5578,3353,806,432,185,103,119,61
30,2020-04-01 16:45,112671,111554,1117,103812,4,7971,39,84649,1.3310375,700,42,4.6260643,10,4.221812,19426,84893,24.297745,3,791,92181,295,1.22228,1142,761,109,4009,3307,3810,3171,1312,109148,1124,24026,179,135,1023,607,308,85122,197,927,9785,14241,24,0.25957876,95300,8323,3663,1568,446,178,165,140,382
31,2020-04-01 16:46,42440,40664,1776,32762,1,8347,39,2748,15.443959,660,32,5.389017,9,4.6978407,1087,11349,177.78197,3,116,15578,313,2.7243547,1556,1147,184,5091,4791,4630,4702,5275,33953,1473,30242,307,285,1189,907,509,3711,252,1221,12962,17280,24,0.8850848,17098,9458,4281,2491,666,389,361,338,261
32,2020-04-01 16:47,22780,20744,2036,19612,0,1691,39,2344,9.71843,640,31,5.078866,11,4.53736,885,4656,109.665535,1,76,8453,310,2.6949012,898,1481,213,2812,2687,2405,2602,1746,18195,843,15453,165,252,789,1206,460,2742,123,720,7209,8244,25,0.7849429,10236,4248,2906,785,343,186,120,43,33
33,2020-04-01 16:48,30527,28731,1796,25859,0,3160,39,2205,13.844444,586,32,4.692771,9,4.295639,729,8430,171.1797,1,23,9564,290,3.1918654,811,1151,157,3840,3977,3530,3760,1627,26409,743,22821,212,264,678,902,529,3588,107,636,11604,11217,25,0.71828216,15511,5833,3921,909,471,163,83,59,95
34,2020-04-01 16:49,35228,33730,1498,23259,8,10959,40,3305,10.659001,656,32,5.7727246,11,4.7865105,1081,11901,151.22202,2,49,11309,291,3.115041,801,843,156,3447,3617,3176,3134,4192,29092,660,23767,122,176,671,510,300,5325,89,571,10872,12895,24,0.79266495,16443,7317,3131,1341,391,141,190,316,212
35,2020-04-01 16:50,183803,182493,1310,172446,80,10368,40,143934,1.2769951,637,36,5.2613635,11,4.163316,18573,147465,41.00937,3,3845,153667,274,1.1961124,2075,817,148,4766,6254,4236,5989,141249,39305,1955,33520,413,157,1619,590,357,5785,359,1596,15753,17767,23,0.21839143,22129,9909,5053,2089,550,232,214,396,419
