time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
16,2020-07-21 07:16,220486,216169,4317,194073,8,22754,30,13050,16.89548,413,27,5.0825047,11,4.4207587,3358,91802,285.4339,2,64,35942,76,6.1344943,2302,2868,594,47305,43613,46799,41685,1325,212972,2147,167538,627,837,2398,2100,1019,45434,537,1610,67307,100231,23,0.90977657,113912,46568,38154,5229,5459,2381,1097,395,589
17,2020-07-21 07:17,133163,128988,4175,115604,0,14986,31,10314,12.910898,700,26,5.4686093,10,4.542469,2032,69251,291.79477,2,84,36742,132,3.6242719,4121,2615,995,33422,35116,31981,33988,1842,123292,2886,87824,975,833,2359,1521,1293,35468,1252,1634,17819,70005,22,1.2471858,54350,25848,27898,5462,5614,3440,1070,593,849
18,2020-07-21 07:18,219014,212569,6445,197819,4,16150,31,13542,16.172943,569,26,5.0774055,12,4.4002185,3788,72783,248.55412,3,312,38868,86,5.634815,5489,4605,1329,42001,44410,40145,42339,1622,205520,5099,162089,1127,1065,2839,3226,1778,43431,2483,2616,69430,92659,22,0.93421423,115914,39419,32469,7047,9161,3413,978,372,1031
19,2020-07-21 07:19,151613,148403,3210,130075,0,19275,32,11944,12.693654,554,26,5.4635687,10,4.602535,2016,82378,341.125,3,467,37154,92,4.080664,2863,2753,348,38267,40794,36263,39887,3545,142150,2409,106726,259,214,2556,2371,302,35424,1158,1251,23295,83431,24,1.1907356,59686,36491,31107,3902,6685,3059,1522,304,867
20,2020-07-21 07:20,240989,235542,5447,208692,76,27392,30,46444,5.188808,480,24,4.9506245,11,4.314967,6973,84367,146.29556,3,1937,72047,78,3.344886,4265,3899,1220,48137,60733,47208,59392,13891,217589,4159,178640,758,1166,4057,2621,1345,38949,1644,2515,65150,113490,20,1.0134487,105868,51626,33233,14124,10465,2823,1524,515,690
21,2020-07-21 07:21,246674,243752,2922,215332,49,29043,30,40013,6.1648464,652,29,5.0399218,13,4.483528,7584,81271,144.49327,3,964,65511,112,3.765383,2669,2266,615,51484,55104,49769,52261,9738,231457,2496,193623,382,453,2912,1550,544,37834,402,2094,76833,116790,26,1.0598887,115481,43158,39282,24123,4845,2703,1528,620,869
22,2020-07-21 07:22,313107,310529,2578,288898,65,21966,29,56862,5.506437,631,28,4.5839553,13,4.1504207,10152,206191,127.140465,3,4322,76969,96,4.0679626,2229,1902,416,70589,41971,68639,40599,15925,292500,2147,262011,356,467,2277,1310,551,30489,159,1988,122202,139809,25,0.8041436,153465,75804,48963,6938,2832,2452,1407,820,535
23,2020-07-21 07:23,116305,114518,1787,99827,18,15131,31,11777,9.875605,638,29,5.2362685,12,4.5536685,3335,66939,157.0102,3,707,27432,96,4.2397566,1277,1217,344,25069,30213,23928,29440,1660,111679,1173,82790,292,321,1102,799,472,28889,266,907,22996,59794,20,1.025863,52310,26982,25801,2346,961,1802,1071,303,475
24,2020-07-21 07:24,233833,228415,5418,210728,53,19267,29,17264,13.544543,613,24,5.144421,11,4.341335,3548,87817,281.73282,1,74,41714,100,5.605624,4484,3466,1237,49238,46398,46914,45714,1269,222696,4403,180209,1436,1267,3500,2174,1918,42487,1875,2528,76685,103524,20,1.0308254,121534,42254,34354,7331,13119,3636,1937,613,1166
25,2020-07-21 07:25,327408,320028,7380,297541,61,23948,31,27646,11.842871,498,24,4.9792957,13,4.3040986,6751,133930,205.10013,2,79,55167,76,5.934852,5054,5524,2011,54872,59383,52244,57063,1794,313240,4687,253388,815,1560,3268,3248,1796,59852,2078,2609,123149,130239,20,0.87554365,185949,52261,49459,10103,10466,4388,1849,1100,974
