time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
16,2021-09-24 12:06,73115,69323,3792,64088,48,5534,63,5703,12.820445,2644,19,4.94266,11,4.5420713,1659,22652,190.8475,2,302,22297,334,3.2791407,3367,2670,787,11842,12552,11165,10819,5301,60713,3268,45772,572,644,2042,1805,1064,14941,1393,1875,10952,34820,18,1.1553444,27573,18065,8880,4366,1187,539,1032,587,195
17,2021-09-24 12:07,64221,60312,3909,55849,40,4794,64,10208,6.291242,2613,23,5.071064,12,4.5977583,1539,19768,181.47888,2,130,21785,386,2.9479458,2633,2962,525,15451,10160,14729,9761,3178,54607,2463,39680,662,569,1820,2327,841,14927,1126,1337,7486,32194,21,1.1751764,23695,16081,6474,7248,1119,505,280,452,126
18,2021-09-24 12:08,110536,105349,5187,84653,9,21475,64,6675,16.5597,2335,23,4.7610893,10,4.4109674,1849,33865,253.59816,2,263,34079,299,3.2435224,3436,4111,480,18835,22954,18917,16937,7474,94553,3275,71734,602,778,2454,3131,962,22819,1196,2079,15820,55914,18,1.0457951,40202,27365,14858,10605,2702,684,221,415,163
19,2021-09-24 12:09,90302,86732,3570,76369,8,10901,61,5727,15.767767,2555,23,5.386974,12,4.797272,1723,22760,243.13174,4,422,34951,362,2.5836742,1925,2622,606,21012,11972,15329,12268,13628,71364,1869,55770,323,456,1767,1761,763,15594,546,1323,10009,45761,19,1.1597307,26407,18813,11932,10165,3545,872,284,478,159
20,2021-09-24 12:10,358920,333370,25550,304980,90,30050,63,4402,81.53567,13885,21,4.95532,15,4.4856915,1365,110925,1102.392,2,81,20204,1920,17.7648,19553,16254,5629,56375,63051,55793,57613,2909,311110,19361,208082,5011,5384,13749,10243,9094,103028,9671,9690,46684,161398,15,0.99963224,161177,87473,36959,23192,8371,4992,1857,2916,723
21,2021-09-24 12:11,670990,648765,22225,608725,250,42240,62,69425,9.664962,14545,24,4.7054944,14,4.355907,15433,406690,184.02936,1,55,84100,1960,7.978478,16664,15668,3868,58208,76459,55861,75901,3857,628890,16175,230378,4210,3454,11186,11421,5911,398512,7482,8693,48039,182339,16,0.60184056,454932,96102,38137,35189,7360,3619,2226,3180,1559
22,2021-09-24 12:12,692185,668195,23990,643695,110,27900,66,71236,9.716786,13690,24,4.6516733,14,4.363053,15573,396030,188.44025,2,218,87306,1840,7.9282637,15574,16976,4641,86354,71524,80770,70273,7019,646057,15288,250320,3949,3516,11053,12004,6559,395737,6421,8867,45287,205033,15,0.6583558,448527,98840,49185,43916,7654,3951,1544,3464,1618
23,2021-09-24 12:13,283215,264845,18370,242960,95,23910,63,3411,83.0299,13885,21,5.1836166,12,4.6213255,1203,82720,1027.3566,1,16,16884,1990,16.774164,11222,12806,3124,47303,48353,45133,47294,4119,249726,10962,177401,2576,3617,8600,9323,5342,72325,4120,6842,40358,137043,18,1.0926328,118029,67478,36741,21353,7134,2475,1365,2570,910
24,2021-09-24 12:14,1030065,1009465,20600,983865,125,27275,63,133795,7.69883,11585,36,4.571293,12,4.2803416,27432,727055,157.89151,3,30864,153931,1650,6.691732,12901,15102,3980,70436,57296,64530,53379,136623,860152,12843,236602,3278,3708,8203,10865,5287,623550,6390,6453,57882,178720,33,0.39253154,689200,85737,45993,23781,14529,4565,2692,2994,964
25,2021-09-24 12:15,71081,67261,3820,61094,16,6611,63,8118,8.755975,2762,20,4.7854033,12,4.4130774,1660,20539,180.21747,2,167,21348,342,3.3296328,3027,2901,551,12323,12848,11502,12170,1550,62716,2986,46004,711,694,2053,2319,887,16712,1014,1972,9539,36465,16,1.056302,27532,21309,8353,4372,1793,672,513,551,121
26,2021-09-24 12:16,72419,68857,3562,59888,18,9276,63,13370,5.4165297,2753,20,4.692798,11,4.386424,1698,20814,178.91461,2,373,24796,382,2.920592,2301,2601,608,10724,14173,10220,13529,2095,64500,2227,42947,529,490,1624,1956,922,21553,847,1380,8011,34936,19,0.94320554,30630,20739,7395,4979,1161,573,298,453,84
27,2021-09-24 12:17,58747,55793,2954,50872,23,5180,63,3604,16.300499,2676,19,4.8325777,15,4.4478517,1216,20300,205.26398,3,115,14378,354,4.085895,2620,2003,393,10084,10360,9659,9973,2057,51203,2533,36626,576,449,1710,1559,864,14577,1056,1477,8203,28423,14,1.0312357,24063,15704,7278,3646,1045,487,323,514,158
